Original Value,Encoded Value
001XX W Kinzie st,868
001XX W LAKE ST,869
001XX W LOWER WACKER DR,870
001XX W Lake St,871
001XX W MADISON ST,872
001XX W MAPLE ST,873
001XX W MARBLE PL,874
001XX W MARQUETTE RD,875
001XX W MENOMONEE ST,876
001XX W MONROE ST,877
001XX W Monroe ST,878
001XX W NORTH AVE,879
001XX W OAK ST,880
001XX W OHARE ST,881
001XX W OHIO ST,882
001XX W ONTARIO ST,883
001XX W Ontario st,884
001XX W POLK ST,885
001XX W RANDOLPH ST,886
001XX W ROOSEVELT RD,887
001XX W ROOT ST,888
001XX W SCHILLER ST,889
001XX W SUPERIOR ST,890
001XX W SWANN ST,891
001XX W Superior ST,892
001XX W VAN BUREN ST,893
001XX W WACKER DR,894
001XX W WASHINGTON ST,895
001XX W WENDELL ST,896
002XX E 101ST ST,897
002XX E 103RD ST,898
002XX E 107TH ST,899
002XX E 108TH ST,900
002XX E 109TH ST,901
002XX E 111TH ST,902
002XX E 113TH ST,903
002XX E 114TH PL,904
002XX E 115TH ST,905
002XX E 116TH ST,906
002XX E 118TH ST,907
002XX E 119TH ST,908
002XX E 120TH PL,909
002XX E 120TH ST,910
002XX E 121ST PL,911
002XX E 121ST ST,912
002XX E 130TH ST,913
002XX E 131ST PL,914
002XX E 132ND ST,915
002XX E 133RD ST,916
002XX E 135TH PL,917
002XX E 136TH PL,918
002XX E 136TH ST,919
002XX E 13TH ST,920
002XX E 15TH PL,921
002XX E 16TH ST,922
002XX E 21ST ST,923
002XX E 24TH ST,924
002XX E 25TH ST,925
002XX E 26TH ST,926
002XX E 29TH ST,927
002XX E 31ST ST,928
002XX E 32ND ST,929
002XX E 33RD BLVD,930
002XX E 35TH ST,931
002XX E 37TH ST,932
002XX E 40TH ST,933
002XX E 41ST ST,934
002XX E 42ND ST,935
002XX E 43RD ST,936
002XX E 44TH ST,937
002XX E 45TH ST,938
002XX E 46TH ST,939
002XX E 47TH ST,940
002XX E 48TH ST,941
002XX E 49TH ST,942
002XX E 50TH ST,943
002XX E 51ST ST,944
002XX E 54TH ST,945
